query,intent,sentiment,detected_intent,detected_sentiment,summary
who can i contact about order inquiry,order_inquiry,neutral,order_inquiry,neutral,Requesting information about an order
i need more information regarding location inquiry,location_inquiry,neutral,location_inquiry,neutral,The user needs more information about location-related inquiry
how do i proceed with rewards feedback,rewards_feedback,neutral,express_appreciation,positive,The user wants to provide feedback on rewards they have received
appointment management was a complete disaster and waste of time,appointment_management,negative,appointment_management,negative,Appointment management was unsuccessful and frustrating
order inquiry caused a lot of problems for me,order_inquiry,negative,order_inquiry,negative,Order inquiry caused frustration
i need more information regarding account inquiry,account_inquiry,neutral,account_inquiry,neutral,Request for information about account inquiry
id like to understand more about product feedback,product_feedback,neutral,product_feedback,neutral,Request for information about providing feedback on a product
im extremely disappointed with service feedback,service_feedback,negative,service_feedback,negative,Customer is unhappy with service
how do i proceed with job inquiry,job_inquiry,neutral,job_inquiry,neutral,Inquiring about job-related information
really appreciate how efficient technical feedback has been,technical_feedback,positive,express_appreciation,positive,Appreciative feedback on efficient technical support
i couldnt be happier with policy complaint,policy_complaint,positive,express_satisfaction,positive,Customer is very pleased
really appreciate how efficient shipping inquiry has been,shipping_inquiry,positive,express_appreciation,positive,Expressing gratitude for efficient shipping
food review has been a fantastic experience overall,food_review,positive,entertainment_review,positive,The user had a great experience overall.
accommodation complaint has made my life much easier and better,accommodation_complaint,positive,accommodation_complaint,positive,The accommodation has improved one's life.
